,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
11,1380 JT Equity,秋川牧園,Food Products,スタンダード,2026/05/15,14:00,4204074000,1500,1006,1021,-0.014691479,1005,1017,1011,-0.013658537,1100,1019,1006,-0.017578125,0.000812038,0.007762122,0.014809409,-0.013602133,-0.102685715,1032.884615,32.43647852,0.009940358,32.85165921,1.887343033,-0.026028673,2026/04/28 6:57
12,1381 JT Equity,アクシーズ,Food Products,スタンダード,2026/04/30,14:00,21262237500,13051.85185,3785,3750,0.009333333,3785,3810,3797.5,0.014018692,6700,3815,3745,0.029931973,-0.129885057,0.195892575,0.33295224,0.375777222,0.25683545,3759.444444,47.95969592,0.029722589,9.430894526,0.947924495,0.006797695,2026/04/28 6:57
13,1382 JT Equity,ホーブ,Food Products,スタンダード,2026/05/08,14:00,1252728000,1748.148148,1644,1681,-0.022010708,1644,1654,1649,-0.010204082,1100,1670,1644,-0.081564246,-0.090204759,-0.165482234,-0.016105908,-0.024967353,1.032530225,1737.555556,35.80289948,0.030413625,,1.76630955,-0.053843202,2026/04/28 6:57
14,1383 JT Equity,ベルグアース,Food Products,スタンダード,2026/06/12,,4758447420,9888.888889,2949,3260,-0.095398773,2942,2952,2947,-0.096704981,42600,2991,2921,-0.084161491,-0.081308411,-0.004720415,-0.045494773,-0.075178537,0.21096082,3271.814815,10.11469991,0.00339098,52.50436566,2.518659919,-0.098665369,2026/04/28 6:57
15,1384 JT Equity,ホクリヨウ,Food Products,スタンダード,2026/05/15,14:00,22847759000,33714.81481,2701,2671,0.011231748,2680,2704,2692,0.008428545,10900,2701,2653,-0.050615114,-0.086062927,0.036423485,0.81024192,2.865150579,3.415254211,2845.444444,36.24346054,0.04442799,6.695032552,1.392450112,-0.050763403,2026/04/28 6:57
16,138A JT Equity,光フードサービス,"Hotels, Restaurants & Leisure",グロース,2026/07/14,,3323200000,2948.148148,3350,3340,0.002994012,3345,3380,3362.5,0.009002251,2500,3375,3295,0.170919259,0.145299145,0.147155356,0.987240489,-0.434561783,-0.434561783,3030.814815,67.90067631,0.011940299,20.51291057,2.477210365,0.105313325,2026/04/28 6:57
17,1401 JT Equity,エムビーエス,Household Durables,グロース,2026/07/14,,10824800000,4144.444444,1400,1385,0.010830325,1386,1400,1393,0.004325883,2000,1400,1380,0.032448378,-0.016163036,0.011560694,0.747369438,1.940396516,1.505534409,1393.296296,51.78627204,0.009285714,18.6181812,2.601863004,0.004811398,2026/04/28 6:57
18,1407 JT Equity,ウエストホールディングス,Construction & Engineering,スタンダード,2026/07/15,,1.26852E+11,843818.5185,2756,2637,0.045127038,2751,2759,2755,0.043362999,885400,2762,2620,0.537946429,0.769552239,0.776255088,0.883146265,-0.053000785,-0.147164447,2021.851852,87.47698367,0.025399129,20.75236682,3.180024364,0.363106796,2026/04/28 6:57
19,1414 JT Equity,ショーボンドホールディングス,Construction & Engineering,プライム,2026/05/11,14:30,2.97485E+11,824792.5926,1358.5,1328,0.022966867,1358,1359,1358.5,0.022581859,774800,1358.5,1330.5,-0.038230088,-0.02160605,0.126092186,0.105108245,0.022413003,0.345793737,1398.481481,41.27990393,0.035609128,19.36292892,2.603652909,-0.028589211,2026/04/28 6:57
20,1417 JT Equity,ミライト・ワン,Construction & Engineering,プライム,2026/05/12,14:00,3.75256E+11,221885.1852,4109,3927,0.046345811,4101,4118,4109.5,0.046073565,416700,4124,3975,0.148086058,0.1229862,0.4200218,0.87752287,1.675075948,1.688805812,3746.592593,81.51206292,0.020686298,16.62659929,1.384715134,0.096729868,2026/04/28 6:57
21,1418 JT Equity,インタライフホールディングス,Commercial Services & Supplies,スタンダード,2026/07/15,,9678991001,99170.37037,569,559,0.017889088,565,569,567,0.015219338,101300,569,561,0.175619835,0.01582294,0.097164441,0.603830586,1.997714832,2.137375999,519.1851852,69.95630689,0.07029877,11.21522701,1.856157621,0.095948067,2026/04/28 6:57
22,1419 JT Equity,タマホーム,Household Durables,プライム,2026/07/10,,1.05157E+11,188977.7778,3570,3535,0.00990099,3570,3575,3572.5,0.014194464,224400,3605,3525,-0.115241636,-0.029891304,-0.015172414,-0.060841153,0.110836139,0.759629837,3823.888889,33.97866903,0.054621849,29.22634739,4.003083864,-0.066395467,2026/04/28 6:57
